 ,Single Filer,Unnamed: 2,Unnamed: 3,Married Filing Jointly,Unnamed: 5,Unnamed: 6,Standard Deduction,Unnamed: 8,Personal Exemption,Unnamed: 10,Unnamed: 11, .1, .2
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,
(m),0.035,>,4900,0.035,>,9800, ,,,,,,
,0.045,>,7200,0.045,>,14400, ,, ,,,,
, ,,, ,,, ,, ,,,,
Ore.,0.0475,>,0,0.0475,>,0,2910,5820,$256 credit,$512 credit,$256 credit,,
"(a, b, d, h, m, bb, ee, nn)",0.0675,>,4550,0.0675,>,9100, ,,,,,,
,0.0875,>,11400,0.0875,>,22800, ,, ,,,,
,0.099,>,125000,0.099,>,250000, ,, ,,,,
, ,,, ,,, ,, ,,,,
Pa. (a),0.0307,>,0,0.0307,>,0,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,,,,,,
R.I.,0.0375,>,0,0.0375,>,0,11200,22400,5250,10500,5250,,
"(d, bb, ff)",0.0475,>,82050,0.0475,>,82050, ,, ,,,,
,0.0599,>,186450,0.0599,>,186450, ,, ,,,,
,,,,,,,,,,,,,
S.C.,0,>,0,0,>,0,8350,16700,n.a.,n.a.,4930,,
"(d, o, u, bb, qq, vv, ww)",0.03,>,3640,0.03,>,3640, ,,,,,,
,0.06,>,18230,0.06,>,18230, ,, ,,,,
, ,,, ,,, ,, ,,,,
S.D.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
Tenn.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
Tex.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
"Utah (d, h, gg, ll)",0.045,>,0,0.045,>,0,$966 credit,"$1,932 credit",n.a.,n.a.,2111,,
, ,,, ,,, ,,,,,,
Vt.,0.0335,>,0,0.0335,>,0,7650,15300,5300,10600,5300,,
"(j, n, hh, mm)",0.066,>,49400,0.066,>,82500, ,, ,,,,
 ,0.076,>,119700,0.076,>,199450, ,, ,,,,
,0.0875,>,249700,0.0875,>,304000, ,, ,,,,
,,,,,,,,,,,,,
Va.,0.02,>,0,0.02,>,0,8750,17500,930,1860,930,,
(m)  ,0.03,>,3000,0.03,>,3000, ,,,,,,
,0.05,>,5000,0.05,>,5000, ,, ,,,,
,0.0575,>,17000,0.0575,>,17000, ,, ,,,,
, ,,, ,,, ,, ,,,,
"Wash. (n, ss, tt)",Capital gains income only,,,,,,,,,,,,
,0.07,>,0,0.07,>,0,278000,278000,n.a.,n.a.,n.a.,,
,0.09,>,1000000,0.09,>,1000000, , , ,,,,
, ,,, ,,, ,, ,,,,
W.Va. ,0.0222,>,0,0.0222,>,0,n.a.,n.a.,2000,4000,2000,,
"(a, m)",0.0296,>,10000,0.0296,>,10000, ,,,,,,
,0.0333,>,25000,0.0333,>,25000, ,, ,,,,
,0.0444,>,40000,0.0444,>,40000, ,, ,,,,
,0.0482,>,60000,0.0482,>,60000, ,, ,,,,
, ,,, ,,, ,, ,,,,
Wis.,0.035,>,0,0.035,>,0,13960,25840,700,1400,700,,
"(d, m, bb, ii)",0.044,>,15110,0.044,>,20150, ,, ,,,,
,0.053,>,51950,0.053,>,69260, ,, ,,,,
,0.0765,>,332720,0.0765,>,443630, ,, ,,,,
, ,,, ,,, ,, ,,,,
Wyo.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
D.C.,0.04,>,0,0.04,>,0,16100,32200,n.a.,n.a.,n.a.,,
(u),0.06,>,10000,0.06,>,10000, ,, ,,,,
,0.065,>,40000,0.065,>,40000, ,, ,,,,
,0.085,>,60000,0.085,>,60000, ,, ,,,,
,0.0925,>,250000,0.0925,>,250000, ,, ,,,,
,0.0975,>,500000,0.0975,>,500000, ,, ,,,,
,0.1075,>,1000000,0.1075,>,1000000, ,, ,,,,
,,,,,,,,,,,,,
